5 LABELS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Clasif base,Parámetros,Dataset,Accuracy↑,Hamming Loss↓,Coverage↑,Ranking loss↓,Avg precision macro↑,Avg precision micro↑,ROC AUC↑,f1 score (micro)↑,Recall (micro)↑,f1 score (macro)↑,Recall (macro)↑
KNeighborsClassifier,n_neighbors= 5,classif20x20week_callin,0.4229424481838131,0.198117045253,2.8914243000931363,0.15310515547234507,0.7876139748084869,0.8431990195415242,0.8866663317202838,0.700630597473,0.690961538462,0.756756756757,0.744680851064
KNeighborsClassifier,n_neighbors= 10,classif20x20week_callin,0.4222668434251561,0.196770297291,2.8325389155182124,0.14403832933501634,0.7859889322611348,0.8569577097053444,0.8892591163732424,0.710567765568,0.640961538462,0.78612716763,0.723404255319
KNeighborsClassifier,n_neighbors= 5,classif20x20week_callout,0.45017404926426635,0.178952206971,2.870814965825489,0.14529983071580083,0.7969198116609377,0.8473563281391717,0.892769042851303,0.801234639017,0.785663919414,0.830409356725,0.816091954023
KNeighborsClassifier,n_neighbors= 10,classif20x20week_callout,0.42731101063011384,0.182016246767,2.8161714386209864,0.13174394906904535,0.7905304056613522,0.8639975172501171,0.8991768744834469,0.772307692308,0.741524725275,0.812121212121,0.770114942529
KNeighborsClassifier,n_neighbors= 5,classif20x20week_internet,0.43022040325955596,0.205766000367,2.993068729516098,0.17725233189289671,0.7555477271831317,0.8337263016219788,0.8784245259045228,0.758857944381,0.778169330669,0.804597701149,0.813953488372
KNeighborsClassifier,n_neighbors= 10,classif20x20week_internet,0.37511339323919557,0.218808755002,2.9731037255427504,0.17369438586303157,0.7461336372820861,0.846068338946175,0.8775802711090812,0.66,0.575591908092,0.761290322581,0.686046511628
KNeighborsClassifier,n_neighbors= 5,classif20x20week_smsin,0.4716590999582014,0.178898092297,2.876939815755605,0.1462067764169818,0.7961977350041016,0.8605456479941266,0.9004164255639306,0.745747690079,0.716914335664,0.795454545455,0.760869565217
KNeighborsClassifier,n_neighbors= 10,classif20x20week_smsin,0.4498810928111313,0.191743571189,2.8050193091496043,0.13865304397557285,0.7967641323042971,0.8693227896821993,0.8982566387893257,0.737270265966,0.695078671329,0.788235294118,0.728260869565
KNeighborsClassifier,n_neighbors= 5,classif20x20week_smsout,0.4987336562095496,0.176140443882,2.8878565091554314,0.15276784242574087,0.7994570032304946,0.8457172098638266,0.8929390239285944,0.725490934187,0.682692307692,0.774566473988,0.720430107527
KNeighborsClassifier,n_neighbors= 10,classif20x20week_smsout,0.4577625914452347,0.184241335428,2.803692969443111,0.13853505824861467,0.8024084078981379,0.8651709845697079,0.8961579923737479,0.70079656132,0.657783882784,0.760233918129,0.698924731183
,,,,,,,,,,,,,
MLkNN,k= 5,classif20x20week_callin,0.41741925934868584,0.20127493999,2.881757434458348,0.1471991356232109,0.7446493511454333,0.8284632395252173,0.8620918489740209,0.700630597473,0.690961538462,0.756756756757,0.744680851064
MLkNN,k= 10,classif20x20week_callin,0.4148313954308521,0.190231674074,2.985131466040204,0.16678000014890254,0.6719099810246143,0.8149436088582803,0.845020143169106,0.774878110395,0.7525,0.827956989247,0.81914893617
MLkNN,k= 10,classif20x20week_callout,0.429617269590924,0.18489111922,2.8970264463025006,0.14475799832438113,0.7153866279126796,0.841448453561744,0.8670745278002785,0.799225063314,0.832206959707,0.819672131148,0.862068965517
MLkNN,k= 5,classif20x20week_callout,0.4527381518283689,0.177426565946,2.821191880558764,0.13059653144726063,0.7608690428510271,0.8467072942314473,0.8781684195827051,0.811191348974,0.804711538462,0.843930635838,0.83908045977
MLkNN,k= 10,classif20x20week_internet,0.38530838117808597,0.221806293407,3.0096630883023696,0.16736993358944574,0.670002068950222,0.8169732558844179,0.8464448726577887,0.68718335428,0.684666583417,0.764705882353,0.755813953488
MLkNN,k= 5,classif20x20week_internet,0.42283945087860364,0.205718381319,2.945334983800966,0.16079791704871932,0.6823049639953984,0.8277133554236068,0.8616614492708484,0.758857944381,0.778169330669,0.804597701149,0.813953488372
MLkNN,k= 10,classif20x20week_smsin,0.4558316729529824,0.192330024137,2.8854898204641457,0.14523122551765041,0.6950719962400183,0.8343273252319865,0.8625616752183177,0.760962566845,0.771958041958,0.802197802198,0.79347826087
MLkNN,k= 5,classif20x20week_smsin,0.4640304246112975,0.176968940149,2.830695732409468,0.13370468063423774,0.7546701488258816,0.8482854191013531,0.8801841133990118,0.776766208598,0.763068181818,0.811111111111,0.79347826087
MLkNN,k= 10,classif20x20week_smsout,0.4618788632430152,0.183399595678,2.933904184301235,0.15556960261015845,0.714660982028954,0.832225936586015,0.8605712196037085,0.731503467511,0.704716117216,0.782122905028,0.752688172043
MLkNN,k= 5,classif20x20week_smsout,0.47634084529575177,0.176484510668,2.7992982169088236,0.1260520292479311,0.7572752100588673,0.8465917012635039,0.8811204549789642,0.681046489742,0.616025641026,0.764705882353,0.698924731183
